"Code","ShortDescription","LongDescription","isBasicLevel","AggregateLevel","parentCode"
"490290","Newspapers, journals & periodicals, whether or not illustrated/cont. advert ...","Newspapers, journals & periodicals, whether or not illustrated/cont. advertising mat., other than those appearing at least 4 times a week",1,6,"4902"
"4903","Children's picture, drawing or colouring books.","Children's picture, drawing or colouring books.",0,4,"49"
"490300","Children's picture/drawing/colouring books","Children's picture/drawing/colouring books",1,6,"4903"
"4904","Music, printed or in manuscript, whether or not bound or illustrated.","Music, printed or in manuscript, whether or not bound or illustrated.",0,4,"49"
"490400","Music, printed/in manuscript, whether or not bound/illustrated","Music, printed/in manuscript, whether or not bound/illustrated",1,6,"4904"
"4905","Maps and hydrographic or similar charts of all kinds","Maps and hydrographic or similar charts of all kinds, including atlases, wall maps, topographical plans and globes, printed.",0,4,"49"
"490510","Globes","Globes",1,6,"4905"
"490591","Maps & hydrographic/sim. charts of all kinds, incl. atlases, topographical  ...","Maps & hydrographic/sim. charts of all kinds, incl. atlases, topographical plans, printed, in book form",1,6,"4905"
"490599","Maps & hydrographic/sim. charts of all kinds, wall maps, topographical plan ...","Maps & hydrographic/sim. charts of all kinds, wall maps, topographical plans & globes, printed, other than in book form",1,6,"4905"
"4906","Plans and drawings for architectural, engineering, industrial, commercial","Plans and drawings for architectural, engineering, industrial, commercial, topographical or similar purposes, being originals drawn by hand; hand-written texts; photographic reproductions on sensitised paper and carbon copies of the foregoing.",0,4,"49"
"490600","Plans & drawings for architectural/engineering/industrial/commercial/topogr ...","Plans & drawings for architectural/engineering/industrial/commercial/topographical/sim. purps. [see complete text #83]",1,6,"4906"
"4907","Unused postage, revenue or similar stamps of current or new issue","Unused postage, revenue or similar stamps of current or new issue in the country in which they have, or will have, a recognised face value; stamp-impressed paper; banknotes; cheque forms; stock, share or bond certificates and similar documents of title.",0,4,"49"
"490700","Unused postage/revenue/sim. stamps of current/new issue...; stamp-impressed ...","Unused postage/revenue/sim. stamps of current/new issue...; stamp-impressed paper; banknotes; cheque forms; stock, share/bond certificates... [see complete text #84]",1,6,"4907"
"4908","Transfers (decalcomanias).","Transfers (decalcomanias).",0,4,"49"
"490810","Transfers (decalcomanias), vitrifiable","Transfers (decalcomanias), vitrifiable",1,6,"4908"
"490890","Transfers (decalcomanias) other than vitrifiable transfers","Transfers (decalcomanias) other than vitrifiable transfers",1,6,"4908"
"4909","Printed or illustrated postcards","Printed or illustrated postcards; printed cards bearing personal greetings, messages or announcements, whether or not illustrated, with or without envelopes or trimmings.",0,4,"49"
"490900","Printed/illustrated postcards; printed cards bearing personal greetings/mes ...","Printed/illustrated postcards; printed cards bearing personal greetings/messages/announcements, whether or not illustrated, with/without envelopes/trimmings",1,6,"4909"
"4910","Calendars of any kind, printed, including calendar blocks.","Calendars of any kind, printed, including calendar blocks.",0,4,"49"
"491000","Calendars of any kind, printed, incl. calendar blocks","Calendars of any kind, printed, incl. calendar blocks",1,6,"4910"
"4911","Other printed matter, including printed pictures and photographs.","Other printed matter, including printed pictures and photographs.",0,4,"49"
"491110","Trade advertising mat., commercial catalogues and the like","Trade advertising mat., commercial catalogues and the like",1,6,"4911"
"491191","Pictures, designs & photographs","Pictures, designs & photographs",1,6,"4911"
"491199","Printed matter, n.e.s.","Printed matter, n.e.s.",1,6,"4911"
"50","Silk","Silk",0,2,"TOTAL"
"5001","Silk-worm cocoons suitable for reeling.","Silk-worm cocoons suitable for reeling.",0,4,"50"
"500100","Silk-worm cocoons suit. for reeling","Silk-worm cocoons suit. for reeling",1,6,"5001"
"5002","Raw silk (not thrown).","Raw silk (not thrown).",0,4,"50"
"500200","Raw silk (not thrown)","Raw silk (not thrown)",1,6,"5002"
"5003","Silk waste","Silk waste (including cocoons unsuitable for reeling, yarn waste and garnetted stock).",0,4,"50"
"500310","Silk waste (incl. cocoons unsuit. for reeling, yarn waste & garnetted stock ...","Silk waste (incl. cocoons unsuit. for reeling, yarn waste & garnetted stock), not carded/combed",1,6,"5003"
"500390","Silk waste (incl. cocoons unsuit. for reeling, yarn waste & garnetted stock ...","Silk waste (incl. cocoons unsuit. for reeling, yarn waste & garnetted stock) (excl. of 5003.10)",1,6,"5003"
"5004","Silk yarn (other than yarn spun from silk waste) not put up for retail sale ...","Silk yarn (other than yarn spun from silk waste) not put up for retail sale.",0,4,"50"
"500400","Silk yarn (excl. yarn spun from silk waste) not put up for retail sale","Silk yarn (excl. yarn spun from silk waste) not put up for retail sale",1,6,"5004"
"5005","Yarn spun from silk waste, not put up for retail sale.","Yarn spun from silk waste, not put up for retail sale.",0,4,"50"
"500500","Yarn spun from silk waste, not put up for retail sale","Yarn spun from silk waste, not put up for retail sale",1,6,"5005"
"5006","Silk yarn and yarn spun from silk waste, put up for retail sale; silk-worm  ...","Silk yarn and yarn spun from silk waste, put up for retail sale; silk-worm gut.",0,4,"50"
"500600","Silk yarn & yarn spun from silk waste, put up for RS; silk-worm gut","Silk yarn & yarn spun from silk waste, put up for RS; silk-worm gut",1,6,"5006"
